Date,Price,Open,High,Low,Vol.,Change %
1/30/2024,77.65,76.75,77.95,75.73,118.71K,1.28%
1/29/2024,76.67,78.72,79.09,76.3,103.54K,-1.53%
1/26/2024,77.86,77.1,78.09,75.92,135.88K,0.87%
1/25/2024,77.19,75.3,77.32,75.05,89.28K,2.95%
1/24/2024,74.98,74.47,75.7,73.85,100.36K,0.96%
1/23/2024,74.27,74.62,75.1,73.35,107.72K,-0.66%
1/22/2024,74.76,73.6,75.46,72.56,372.28K,2.06%
1/19/2024,73.25,73.92,74.63,72.99,360.03K,-0.95%
1/18/2024,73.95,72.73,74.19,72.1,396.28K,2.03%
1/17/2024,72.48,72.11,72.86,70.62,348.48K,-0.06%
1/16/2024,72.52,72.73,73.68,71.39,312.94K,-0.37%
1/15/2024,72.79,72.69,73.09,71.41,,0.00%
1/12/2024,72.79,73.16,75.28,72.48,244.20K,0.97%
1/11/2024,72.09,71.35,73.81,71.24,240.34K,0.91%
1/10/2024,71.44,72.2,73.55,71.09,198.04K,-1.18%
1/9/2024,72.29,70.92,72.99,70.63,204.37K,1.93%
1/8/2024,70.92,73.6,73.98,70.25,193.27K,-3.98%
1/5/2024,73.86,72.51,74.3,72.35,164.95K,2.07%
1/4/2024,72.36,73.2,74.12,71.24,144.60K,-0.73%
1/3/2024,72.89,70.77,73.36,69.56,129.06K,3.21%
1/2/2024,70.62,71.9,73.8,70.32,108.52K,-1.88%
1/1/2024,71.97,71.67,72.24,71.67,,0.18%
12/29/2023,71.84,72.15,72.8,71.47,63.48K,-0.18%
12/28/2023,71.97,74.04,74.62,71.92,94.29K,-3.19%
12/27/2023,74.34,75.57,75.81,74.01,80.38K,-1.81%
12/26/2023,75.71,73.74,76.31,73.32,56.76K,2.60%
12/25/2023,73.79,73.49,73.94,73.48,,0.08%
12/22/2023,73.73,74.07,75.11,73.55,76.79K,-0.45%
12/21/2023,74.06,73.99,74.78,72.65,81.11K,-0.52%
12/20/2023,74.45,74.31,75.56,73.87,98.97K,0.69%
12/19/2023,73.94,72.93,74.45,72.14,230.04K,1.54%
12/18/2023,72.82,72.05,74.61,70.99,354.89K,1.45%
12/15/2023,71.78,71.91,72.56,70.64,262.87K,-0.18%
12/14/2023,71.91,70.08,72.73,69.82,224.16K,3.14%
12/13/2023,69.72,68.99,70.15,67.98,185.24K,1.26%
12/12/2023,68.85,71.67,72.2,68.49,189.45K,-3.79%
12/11/2023,71.56,71.36,72.03,70.61,119.85K,0.17%
12/8/2023,71.44,70,71.81,69.75,124.73K,2.66%
12/7/2023,69.59,69.57,70.7,69.08,144.37K,-0.09%
12/6/2023,69.65,72.33,72.84,69.39,183.91K,-3.97%
12/5/2023,72.53,73.59,74.34,72.24,142.71K,-1.08%
12/4/2023,73.32,74.76,75.2,72.87,158.42K,-1.25%
12/1/2023,74.25,75.71,76.81,74.13,127.63K,-2.37%
11/30/2023,76.05,77.79,79.67,75.16,209.44K,-2.49%
11/29/2023,77.99,76.67,78.18,75.87,112.41K,1.83%
11/28/2023,76.59,75.32,77.13,74.88,121.44K,2.00%
11/27/2023,75.09,75.57,76.42,74.35,84.35K,-0.90%
